epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,903.471,1.26345,2.31949,1.62938,0.44838,0.7107,0.57144,0.31369,1.42345,3.66335,1.88544,0.0004166,0.0004166,0.0004166
2,1872.12,1.31558,1.80168,1.67274,0.56028,0.70768,0.67332,0.37851,1.43468,1.8273,1.88531,0.000816768,0.000816768,0.000816768
3,2939.25,1.32211,1.65198,1.67787,0.64221,0.62275,0.64634,0.35661,1.45736,1.6446,1.89981,0.00120044,0.00120044,0.00120044
4,3801.77,1.28031,1.51987,1.64352,0.74592,0.68721,0.75554,0.41714,1.42474,1.23671,1.85547,0.00117575,0.00117575,0.00117575
5,4804.27,1.24174,1.43513,1.61351,0.72995,0.65944,0.73782,0.42878,1.36129,1.26205,1.78572,0.001151,0.001151,0.001151
6,5726.07,1.21721,1.35889,1.59422,0.6591,0.64343,0.64541,0.37556,1.49815,1.28787,1.87466,0.00112625,0.00112625,0.00112625
7,6713.12,1.19911,1.31458,1.57286,0.81793,0.7408,0.82393,0.50157,1.28666,1.09298,1.72435,0.0011015,0.0011015,0.0011015
8,7696.26,1.17116,1.2311,1.55314,0.76145,0.68482,0.77987,0.46639,1.33447,1.17188,1.74839,0.00107675,0.00107675,0.00107675
9,8747.57,1.13779,1.19044,1.52374,0.7751,0.71572,0.79234,0.44924,1.4332,1.10914,1.80769,0.001052,0.001052,0.001052
10,9923.88,1.12672,1.15647,1.52369,0.7363,0.76527,0.77139,0.47795,1.2588,1.06202,1.67169,0.00102725,0.00102725,0.00102725
11,11071.1,1.11255,1.11974,1.50858,0.83911,0.79416,0.86969,0.55058,1.26084,0.98028,1.65216,0.0010025,0.0010025,0.0010025
12,12247.8,1.08978,1.10177,1.486,0.79707,0.82081,0.87545,0.55928,1.21347,0.94366,1.62159,0.00097775,0.00097775,0.00097775
13,13432,1.09266,1.06577,1.49307,0.87993,0.80774,0.888,0.53589,1.28885,0.92118,1.6821,0.000953,0.000953,0.000953
14,14606.9,1.07879,1.04863,1.47819,0.78807,0.75213,0.82639,0.53424,1.22332,0.99251,1.61684,0.00092825,0.00092825,0.00092825
15,15779.8,1.07621,1.04181,1.47971,0.83655,0.80955,0.87858,0.57663,1.17136,0.91995,1.58244,0.0009035,0.0009035,0.0009035
16,16955.2,1.06774,1.00025,1.46183,0.84794,0.78944,0.86865,0.56922,1.1883,0.94761,1.60852,0.00087875,0.00087875,0.00087875
17,18128.6,1.05873,0.99506,1.46099,0.82143,0.81743,0.88365,0.59728,1.0998,0.86103,1.51998,0.000854,0.000854,0.000854
18,19296.9,1.04191,0.97302,1.45647,0.78237,0.74863,0.83195,0.48749,1.25518,1.00664,1.63574,0.00082925,0.00082925,0.00082925
19,20485.5,1.03879,0.95538,1.43954,0.83974,0.81344,0.88057,0.56235,1.16927,0.86617,1.58192,0.0008045,0.0008045,0.0008045
20,21667.8,1.02821,0.93985,1.43804,0.8686,0.82827,0.89931,0.58033,1.18417,0.83105,1.58824,0.00077975,0.00077975,0.00077975
21,22846.9,1.01375,0.91268,1.42406,0.86969,0.81417,0.90076,0.59678,1.1405,0.81922,1.56723,0.000755,0.000755,0.000755
22,23397.7,1.01671,0.90731,1.42506,0.85593,0.78519,0.86509,0.56019,1.16943,0.84875,1.55464,0.00073025,0.00073025,0.00073025
